CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
EST.1.0.319.0.UBLGAP;Estonia;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.2657045;4.9507278;3.3217907;0.0718295;-0.5107448;0.3468185;-0.1015935;-0.5215603;0.3342600;0.8123726;-1.7070988;-1.6272709;-3.1145696;-4.6230476;2.5242730;3.2547920;0.9872327;-1.1832312;-0.3599584;0.0359966;-0.0116233;-0.5596513;-1.8491881;-2.2381824;-1.6261167;-0.8817873;-0.4587029                                                                                                                                                                                                                                                                                                                 
IRL.1.0.319.0.UBLGAP;Ireland;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.5626398;-0.3990987;0.2038934;1.0323678;1.7226423;2.4974396;-0.2144354;-1.2587149;0.9737443;1.2135927;1.0896511;1.8821301;-1.7786839;-6.2487304;-10.8745579;-30.6152016;-11.9292886;-6.9467551;-4.8227840;-4.8177561;-3.9964802;-1.9541431;-1.3522995;-0.6452031;-0.8053817;-0.3287066;0.3175813                                                                                                                                                                                                                                                                                                            
GRC.1.0.319.0.UBLGAP;Greece;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-10.0803837;-8.5572539;-7.1095448;-7.4976098;-6.6167070;-4.7552031;-6.1548349;-6.6325651;-8.9717812;-10.4789763;-6.7373051;-8.0528940;-9.4422544;-12.1704982;-14.8390709;-8.5724068;-4.1097584;-0.5369444;-4.5941690;3.6826515;0.9432902;6.4465615;5.5091930;4.5033518;3.6852779;2.1666193;1.2853299                                                                                                                                                                                                                                                                                                           
ESP.1.0.319.0.UBLGAP;Spain;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4.9753746;-4.2689258;-2.9386061;-2.5948697;-1.8809585;-2.9284581;-2.5220891;-2.0610221;-1.7490620;-1.3674766;-0.0990659;0.3592404;0.1509946;-5.2405148;-9.2465683;-6.9443399;-6.3954312;-6.0241331;-1.8714331;-1.5090144;-2.6707099;-3.1548339;-2.9384907;-3.1527765;-3.2868068;-3.2290613;-3.0110363                                                                                                                                                                                                                                                                                                          
FRA.1.0.319.0.UBLGAP;France;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;1.3152348;0.9225400;0.2718125;-0.3012136;-0.2350323;-0.7441843;-1.2624502;-0.6744311;-2.0606109;-1.9084016;-1.9881296;-1.1549349;-0.7636940;-1.9462274;-1.0120564;-0.2536747;-1.5827815;-2.3541497;-1.7308709;-1.7589635;-1.7693961;-2.0328345;-0.8683279;-2.6197034;-2.8030503;-3.6043589;-3.1265799;-4.4288869;-4.5648444;-3.8434471;-3.6268520;-2.1392262;-2.1243437;-1.7907260;-1.8437605;-2.6772634;-2.7787445;-4.1779216;-4.4601299;-4.6555011;-4.3161555;-3.8384381;-4.4665893;-4.2555759;-5.6785626;-5.8855514;-4.8055512;-4.1968577;-3.0158870;-2.8228115;-2.7050267;-2.7306125;-2.7256270;-2.8633776;-3.5370769;-2.7501916;-2.6940297                                                          
HRV.1.0.319.0.UBLGAP;Croatia;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.0119716;-2.7919564;-4.6827958;-5.4450233;-4.5405653;-4.8543784;-5.1639774;-5.7401936;-5.5313476;-5.6392068;-7.0652535;-3.6324642;-3.3771169;-3.2007710;-1.8304172;-0.5157923;0.6730529;-0.2726935;-0.8028546;-0.9549790;-0.7839277                                                                                                                                                                                                                                                                                                                                                       
ITA.1.0.319.0.UBLGAP;Italy;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-6.8329600;-6.1194257;-2.6245918;-2.7395513;-1.6312982;-3.4612856;-4.5215535;-3.7108008;-3.5979661;-4.0076206;-4.6709611;-4.7913755;-2.8834674;-3.4197182;-3.1888915;-3.3084575;-2.9677314;-1.2480638;-0.2882268;-0.4688122;-0.6050855;-1.3035871;-2.1920568;-2.2952647;-2.0970986;-2.2718670;-2.7713046                                                                                                                                                                                                                                                                                                        
CYP.1.0.319.0.UBLGAP;Cyprus;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.9599758;-3.6761946;-2.9710765;-3.0665448;-5.0316349;-6.4471643;-4.9540473;-4.1321815;-3.3635408;0.3542897;-1.7597447;-5.5520529;-4.5995163;-4.9367598;-3.0786314;-0.8674724;-3.7701130;2.0117319;0.4500714;0.9778668;-6.0876031;1.7490466;0.6083378;0.5160903                                                                                                                                                                                                                                                                                                                                      
LVA.1.0.319.0.UBLGAP;Latvia;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6964462;1.1005693;-0.4797750;-3.2617911;-2.0531454;-1.2522145;-1.8908418;-1.6561022;-1.3978213;-1.8675294;-3.6028946;-4.7637792;-5.6284711;-5.5069080;-3.7754248;-1.8580471;-0.2607012;-0.8168813;-1.2718699;-1.6092868;-0.1255211;-1.1414223;-1.9081109;-1.4503637;-1.0711195;-0.8650465                                                                                                                                                                                                                                                                                                                 
LTU.1.0.319.0.UBLGAP;Lithuania;01 Based on potential GDP (ESA 2010);Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ;(Percentage of potential GDP at current prices) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4.0774203;-13.1352856;-4.9191764;-1.6780093;-1.2774919;-1.8504611;-0.3362677;-1.3789546;-1.8321461;-1.5866900;-2.0286983;-4.1151455;-5.2023554;-4.6974668;-3.0534694;-6.8891292;-2.0308839;-2.1347771;-0.7267771;-0.4118627;-0.2092206;-0.7403528;-0.8576295;-1.5288906;-0.8965543;-0.3301542                                                                                                                                                                                                                                                                                                           
